Region,Site,Lat,Long,pH,orgmat,nit,K,cec,P,mat1,iso3,tsd4,map12,pwrq18
WI,PET,42.511986,-88.548904,5.8,3.1,0.8,109,11.3,11,8.127833379,27.42670792,106.6011479,913,314
MT,BRS,47.329303,-114.212481,6.6,14.8,12.1,365,17.4,28,7.081999933,34.0357167,83.41318527,454,119
MT,BF,46.97046,-112.965332,6,8.5,10,443,20.3,31,5.071000094,33.27209427,96.68063884,400,106
WI,BOL,43.163215,-89.509957,6.6,7,4.1,62,15.9,2,7.567833437,27.40217641,110.5880173,831,303
MT,MPG,46.692586,-113.987136,6.6,7.6,5.6,372,13.5,50,6.308333315,35.79009682,82.7557904,374,102
MT,NH,46.88998,-113.988522,6.8,4.3,4,265,10.4,17,7.556333264,34.89164298,86.97542334,366,98
MT,MJS,46.892333,-113.945948,6.4,4.4,6.8,330,18.3,33,6.839833314,35.21383206,85.85326897,380,99
WI,SRD,42.990749,-89.060186,6.3,4.1,1,72,14.7,4,7.786500115,27.71675374,109.14247,836,298
MT,BRP,47.349373,-114.268246,6.6,4,4,330,9,22,8.442500024,33.9028969,86.31438777,392,117
MT,CWN,47.05081,-113.377285,6.7,3.7,1,255,13.5,33,5.382333318,34.23663558,86.96573552,462,110
MT,MS,46.837001,-113.97219,6.8,3.2,1.8,363,11.4,34,7.127666724,35.26810476,85.70569517,363,99
WI,GRE,43.026302,-89.436011,5.6,3.4,5,56,17.3,3,7.834166766,27.12798203,109.0874411,837,305
WI,STB,42.953063,-89.870106,7.1,3.7,17.5,162,23.4,4,7.526666746,27.05348372,110.3638703,849,312
WI,UWM,43.3886,-88.025156,6.8,3.6,6.2,88,10.2,9,7.454166697,26.03139537,103.7255881,807,273
WI,SDA,42.955686,-89.868985,6.9,1.5,3.1,156,17.5,4,7.526666746,27.05348372,110.3638703,849,312
WI,BEN,42.558899,-87.980019,6.6,4.7,11.9,224,18.6,4,8.381666496,27.41599482,103.3403122,885,295
